--- Triggers on auth.users ---
Name: RI_ConstraintTrigger_a_19045 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_19046 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_19060 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_19061 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_19070 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_19071 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_19080 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_19081 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_19085 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_19086 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_19115 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_19116 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_19450 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_19451 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_20740 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_20741 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_21150 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_21151 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_21640 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_21641 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_220965 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_220966 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_226086 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_226087 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_226091 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_226092 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_226096 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_226097 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_226101 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_226102 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_226991 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_226992 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_226996 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_226997 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227001 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227002 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227006 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227007 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227011 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227012 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227016 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227017 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227021 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227022 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227026 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227027 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227031 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227032 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227036 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227037 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227041 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227042 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227046 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227047 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227051 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227052 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227056 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227057 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227061 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227062 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227066 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227067 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227071 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227072 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227076 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227077 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227081 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227082 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227086 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227087 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227091 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227092 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227096 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227097 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227101 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227102 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227106 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227107 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227111 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227112 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227116 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227117 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227121 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227122 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227126 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227127 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227131 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227132 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227136 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227137 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227141 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227142 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227146 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227147 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227151 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227152 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227156 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227157 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227161 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227162 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227166 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227167 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227171 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227172 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227176 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227177 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227181 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227182 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227186 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227187 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227191 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227192 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227196 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227197 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227201 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227202 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227206 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227207 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227211 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227212 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227216 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227217 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227221 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227222 | Activation: AFTER | Level: ROW | Event: UPDATE
